,Dollar_per_MT
Dollar_per_MT,1.0
VLCC Fleet Development...6,-0.5322888986913032
VLCC Fleet Development...7,-0.5285399851978279
VLCC Newbuilding Prices,0.5340261425962561
UP.Latin America,-0.5141558594445864
TP.U.S. + Canada,-0.5569113079928223
TP.Latin America,-0.5563766635986762
TP.Total Europe,-0.5605307974031896
TP.Former Soviet Union,-0.5537074599878484
TP.Asia-Pacific,-0.5550042767037744
TP.Middle East,-0.5522077658005242
TP.Africa,-0.554934063741671
Total trade flows,-0.5529242538226304
TF.Des_ARA Region,-0.5060173691578898
TF.Des_East Asia,-0.5509680455057793
TF.Des_Indian Sub-Continent,-0.5407932122209357
TF.Des_North West Europe (excl. ARA),-0.5541129410261886
TF.Des_PADD 3 (US Gulf Coast),-0.5320697766479437
TF.Des_PADD 5 (US West Coast),-0.5126434262772555
TF.Des_Red Sea,-0.5266014243138449
TF.Des_Southeast Asia,-0.5506031444106179
F.Des_EAF,-0.5567446262405504
F.Des_ECI,-0.5664083032970574
F.Des_MED,-0.5567446262405504
F.Des_MED/BS,-0.5567446262405504
F.Des_USEC,-0.5063966588762002
F.Origin_EAF,-0.5567446262405504
F.Origin_MED,-0.5334433733378788
F.Origin_MED/BS,-0.5567446262405504
F.Origin_SAF,-0.5567446262405504
F.Origin_USAC,-0.5567446262405504
F.Origin_USEC,-0.5567446262405504
