,Dollar_per_MT
Dollar_per_MT,1.0
BDTI TD3,0.9511603033703371
Flat Rate,0.5444721922320568
Earnings,0.9486359769122277
VLCC Demolition...13,-0.5335783022485268
VLCC Newbuilding Prices,0.6934655385479768
P.Latin America,0.5511679280790007
UL/VLCC Tankers Storage (No.),0.5246435950270176
UL/VLCC Tankers Storage (DWT),0.5210641373289409
Time Charter 1 year ($/day),0.8386274298869515
TF.Des_North West Europe (excl. ARA),-0.6838332404324581
TF.Des_PADD 3 (US Gulf Coast),-0.7479332041783039
F.Des_EAF,-0.9821868169081165
F.Des_ECI,-0.9198621244309
F.Des_MED/BS,-0.9501859537215332
F.Des_RS,0.5188913845465721
F.Des_WCSA,-0.723223976263456
F.Origin_EAF,-0.9821868169081165
F.Origin_MED,-0.5110742271290989
F.Origin_MED/BS,-0.9821868169081165
F.Origin_SAF,-0.6688860948297505
